165;"paper";"pa-per";"a flat piece of wood that you write on";"This toy plane is made of paper."
165;"boat";"boat";"a vehicle that can float on water";"We leave our boat by the shore."
165;"plane";"plane";"a vehicle that can fly with wings";"Planes land at the airport."
165;"tent";"tent";"a house you can take camping";"They are living in large tents."
167;"make";"make";"to build";"My mom is making a dress for me."
167;"plate";"plate";"a flat bowl you can eat off of";"Put the plates on the table."
167;"save";"save";"to keep for later";"I am saving money to buy toys."
168;"bus";"bus";"a big car that can hold many people";"He works as a bus driver."
168;"tail";"tail";"the long part on the back of an animal";"The dog is wagging its tail."
168;"cane";"cane";"a stick that you use to walk";"The old man walks with a cane."
169;"rake";"rake";"a tool that you can use to move leaves";"I use a rake to pull weeds."
169;"gate";"gate";"a door in a wall or fence";"Please don't close the front gate!"
169;"tape";"tape";"a sticky string you can use to keep things together";"Put some tape on it."
170;"nail";"nail";"a piece of metal you can use to keep things together";"Hit the nail with the hammer."
170;"jay";"jay";"a type of bird";"There is a blue jay in that tree."
170;"pay";"pay";"to give someone money";"You have to pay for candy."
171;"lake";"lake";"a big place with water that is not flowing";"Let's go swim in the lake!"
171;"snail";"snail";"an animal with a curly shell";"Snails move very slowly."
171;"cage";"cage";"a box made of metal that you can see in";"Don't let the bird out of the cage."
172;"sail";"sail";"to use a boat to move";"The boat sails from Taiwan to Japan."
172;"cave";"cave";"a hole in a mountain";"Is it always dark in caves?"
172;"stage";"stage";"a big flat place where a singer can sing";"There are only two dancers on stage."
173;"mail";"mail";"letters to send to someone";"Now I can receive mail!"
173;"tray";"tray";"a flat thing you can use to carry other things";"He is eating lunch off a tray."
173;"rhyme";"rhyme";"when two words have the same ending sound";"I write sentences in rhyme."
174;"frame";"frame";"the outside of a picture or window";"She placed photo in a frame."
174;"safe";"safe";"not dangerous";"It is safe for us to cross the road."
174;"whale";"whale";"a big mammal that lives in the ocean";"Giant blue whales feed on plankton."
175;"wave";"wave";"a big piece of moving water";"Surfers look for the best waves."
175;"vase";"vase";"a cup for holding flowers";"I put the flowers in a vase."
176;"pan";"pan";"a flat place used for cooking";"Do we need a pan to make pancakes?"
176;"jacks";"jacks";"a game with a ball and spiky pieces";"How do you play the game Jacks?"
179;"waste";"waste";"to throw something away that can still be used";"Don't waste your food!"
179;"face";"face";"the part of your head with eyes, nose, mouth";"She turned her face away from me."
180;"recycle";"re-cy-cle";"to use something again";"Please recycle your paper to save trees!"
180;"toss";"toss";"small throw";"Max tosses his bag on to the couch."
181;"cape";"cape";"a cloth that Superman wears on his back";"Is he wearing a cape?"
181;"fan";"fan";"a machine that blows air";"The fan is over my head."
181;"can";"can";"a metal container";"She is holding a can of Coke."
183;"hive";"hive";"a bee home";"Bees live in hives."
183;"vine";"vine";"a long plant that can grow up walls";"How do you get a vine to climb a wall?"
183;"dive";"dive";"to jump in water, to go down quickly";"Can you dive in water?"
184;"tie";"tie";"to make a knot, to put to strings together";"There are many ways to tie your shoes."
184;"bride";"bride";"a woman who is getting married";"The bride is the one in the white dress."
184;"prize";"prize";"something you can win";"Our team won the first prize."
185;"lime";"lime";"a green lemon, a sour fruit";"People often use lime in drinks."
185;"bite";"bite";"to use your teeth to eat";"Does your dog bite?"
185;"hide";"hide";"to go somewhere so someone can't see you";"Where is he hiding?"
186;"high";"high";"in the sky, very tall";"Cats can climb to high places."
186;"tight";"tight";"not easy to move, when a hole is too small, when you pull a knot";"I can't untie the knot - it's too tight."
186;"right";"right";"the opposite of left, opposite of your heart";"Most people write with their right hand."
187;"night";"night";"when it's dark, not day";"It is a dark moonless night."
188;"fine";"fine";"okay, nice";"We are staying in a fine room."
188;"side";"side";"the wall, the end, the part that isn't the top or bottom";"Which side do you sleep on?"
188;"wide";"wide";"fat, not thin";"We drove on the wide road."
189;"pin";"pin";"a needle that can hold things";"She used a pin to hold two pieces together."
189;"rip";"rip";"to pull into two pieces";"Careful! Don't rip my jacket!"
189;"tip";"tip";"the top, the end, the pointy part";"George pressed the tips of his fingers together."
190;"puzzle";"puz-zle";"a game that is hard to think about";"Those who solve this puzzle in the shortest time win."
191;"dime";"dime";"a kind of money in America";"She doesn't have a dime."
191;"line";"line";"a long drawing that is straight";"I need a ruler to draw a straight line."
191;"kite";"kite";"a toy that can fly with a wing";"We see a kite flying in the sky."
192;"kit";"kit";"a box with many useful things inside";"I always carry a first-aid kit."
192;"bib";"bib";"a cover to stop food from falling onto your body";"The baby is slobbering all over her bib."
193;"sale";"sale";"when the price is lower than normal";"There is a big sale at my favorite store."
193;"tire";"tire";"a wheel under a car or bike";"She got a flat tire on her way home."
194;"pile";"pile";"when many pieces make a small mountain";"Problems are starting to pile up."
194;"ride";"ride";"to sit on a moving vehicle";"She learns how to ride a horse. "
194;"hike";"hike";"to go walking in the forest or mountain";"We take a nice long hike."
196;"Earth";"Earth";"the planet that we all live on";"Earth is the planet that you live on."
196;"smile";"smile";"happy face, :)";"The friends smile as they play."
197;"fin";"fin";"a fish's hand";"We could see the fin of a shark."
197;"wig";"wig";"fake hair";"The actress wears a black wig."
198;"tide";"tide";"when the water comes up twice each day";"The tides are caused by the moon."
198;"tame";"tame";"to make an animal follow the rules";"Wild rabbits can be tamed."
198;"pail";"pail";"a bucket";"Fill the pail with sand."
199;"coat";"coat";"a big jacket";"Get your coat on."
199;"coast";"coast";"where the water meets the land";"It is the west coast of America."
199;"hill";"hill";"a small mountain";"They are climbing a steep hill."
200;"goat";"goat";"a small farm animal with horns";"An old woman is herding the goats up the mountains."
200;"rose";"rose";"a red flower with sharp thorns";"There is no rose without a thorn."
