5;"magic";"ma-gic";"powers, doing something impossible";"Do you know how to do magic?"
5;"wand";"wand";"a stick you can use to do magic";"She waves the wand around."
5;"trick";"trick";"something you do to fool people";"It's not nice to trick people!"
5;"rabbit";"rab-bit";"a small animal with long ears";"The rabbit hops to the carrot."
5;"tap";"tap";"a small hit";"He taps the desk to the music."
6;"idea";"i-de-a";"to think of something";"I have a great idea!"
6;"detail";"de-tail";"thinks you can talk about in a story";"What are the details of the story?"
9;"strong";"strong";"able to pick up heavy things";"The strong person picks up the car!"
9;"fur";"fur";"animal hair";"What color is the cat's fur?"
9;"stripe";"stripe";"a line of color";"How many stripes are on his shirt?"
9;"hide";"hide";"to make it so other people can't see you";"The kids hide from the scary monster."
9;"wild";"wild";"when an animal is not in your home or on a farm";"You shouldn't touch wild animals."
9;"hunt";"hunt";"to try to kill something for food";"They are hunting for food."
13;"soil";"soil";"dirt, brown stuff that plants live in";"She plants the flowers in the soil."
13;"sprinkle";"sprink-le";"to drop a little bit";"First sprinkle some water on the seeds."
13;"jug";"jug";"a big jar";"What do you think is inside the jug?"
13;"grow";"grow";"to get bigger";"What do you want to be when you grow up?"
13;"hole";"hole";"a part that is missing";"The kids look into the deep hole."
17;"loose";"loose";"not tight, easy to move or easy to take off";"He pulls out the loose tooth."
17;"tongue";"tongue";"the muscle in your mouth";"Can you talk without a tongue?"
17;"wiggle";"wig-gle";"to move side to side a little bit";"The cat wiggles its ears."
17;"finger";"fing-er";"five things on your hand";"How many fingers do you have?"
17;"shiny";"shi-ny";"to have light coming off of it";"She sees something shiny in the water."
17;"predict";"pre-dict";"to think about and guess the future";"What do you predict will happen?"
21;"creepy";"creep-y";"scary, makes you feel unhappy";"The creepy spider climbs on the wall."
21;"leaf";"leaf";"a flat green part of a plant (plural: leaves)";"Leaves fall from the trees."
21;"stem";"stem";"a long brown part of a plant";"What can you see on the stem of the flower?"
21;"sting";"sting";"to get hurt by a bee or other bug";"The angry bee gets ready to sting."
22;"harm";"harm";"to hurt someone";"Some bugs are harmful to plants."
25;"crisp";"crisp";"hard, easy to break";"He gives me a new, crisp piece of paper."
25;"enjoy";"en-joy";"to have fun";"Do you enjoy watching movies?"
25;"sticky";"stick-y";"to feel like something is glue";"There is something sticky on the table."
26;"author";"auth-or";"a person who writes a story";"Why did the author write this story?"
26;"describe";"de-scribe";"to talk about";"Can you describe the taste of an apple?"
27;"compare";"com-pare";"to see how two things are the same";"How do you compare a movie and a book?"
29;"favorite";"fa-vor-ite";"the one you like the most";"My favorite food is pizza."
29;"pitcher";"pitch-er";"a person who throws a ball in a baseball game";"The pitcher throws the ball."
29;"closet";"clos-et";"a small room where you keep clothes";"What do you have in your closet?"
29;"collection";"col-lec-tion";"many things that are similar you keep for fun";"His card collection is very large."
29;"lid";"lid";"the top of a bucket";"Can you find the lid for this jar?"
33;"vacation";"va-ca-tion";"when you go somewhere fun for a few days";"Where will you go for your vacation?"
33;"trip";"trip";"to go somewhere else and come back after some time";"My family will take a trip to Japan."
33;"choose";"choose";"to pick one";"Choose the right answer!"
33;"subway";"sub-way";"a train that goes underground, MRT";"We can ride the subway to the library."
33;"blanket";"blank-et";"a cloth on your bed that keeps you warm";"I will use a blanket to stay warm."
37;"fresh";"fresh";"new and good to eat or good to use";"Do you have any fresh fruit?"
