1;"alphabet";"al-pha-bet";"letters in English, ABC";"How many letters are in the alphabet?"
1;"numbers";"num-bers";"1, 2, 3, 4, 5...";"I would like you to read number one."
1;"name";"name";"what you are called";"Can you please tell me your name?"
1;"address";"ad-dress";"where you live";"What is the address of the school?"
1;"phone number";"phone-num-ber";"the number to call someone";"Here is my phone number so you can call me."
2;"main";"main";"the biggest one, most important";"Many people work on Main Street."
2;"street";"street";"a place where cars can drive";"Don't play in the street!"
2;"Mexico";"Mex-i-co";"a country near America where people speak Spanish";"Have you ever been to Mexico?"
2;"city";"cit-y";"a place where many people live and work";"How many people live in your city?"
3;"famous";"fa-mous";"many people know about them";"That singer is rich and famous."
3;"practice";"prac-tice";"to study, to do many times to get better";"You need to practice every day to get better."
3;"actor";"act-or";"a person who acts in a movie";"Who is your favorite actor?"
3;"actress";"act-ress";"a female actor";"She is my favorite actress."
3;"athlete";"ath-lete";"a person who plays sports";"The athlete hits the ball very far."
3;"president";"pres-i-dent";"a person who leads the country";"Who is the president of Taiwan?"
3;"prime minister";"prime-min-is-ter";"a person who leads the country";"Who is the prime minister of Japan?"
3;"leader";"lead-er";"a person who tells others what to do";"The leader of the team works very hard."
4;"America";"A-mer-i-ca";"USA, a country where a lot of teachers are from";"Would you like to visit America?"
4;"license";"li-cense";"a card that says you can do something";"Do you have a license to drive?"
4;"e-mail";"e-mail";"a message on a computer";"I will send you an e-mail when I get home."
4;"river";"riv-er";"a body of moving water";"Many fish and turtles swim in the river."
4;"New York";"New-York";"the biggest city in America";"New York is the largest city in America."
4;"emergency";"e-mer-gen-cy";"a very serious problem";"Who do you call if you have an emergency?"
5;"apartment";"a-part-ment";"a part of a building where people live";"His apartment is very nice but a little small."
5;"spell";"spell";"to say the letters in a word";"How many words can you spell?"
5;"first";"first";"number 1";"I want to be the first person to walk on Mars."
6;"center";"cent-er";"the middle";"There are many stores near the center of the city."
7;"desk";"desk";"a table where you can do work";"Make sure you clean your desk at least once per week."
7;"computer";"com-pu-ter";"a machine that does math and can use the internet";"Do you know how to use a computer?"
7;"bank";"bank";"a place where you can save and borrow money";"We can go borrow some money from the bank."
7;"post office";"post-of-fice";"a place where you can send mail";"The post office is only open from 8:00 to 6:00."
7;"restaurant";"rest-aur-ant";"a place where you can buy and eat food";"She eats at this restaurant three times per week."
7;"kitchen";"kit-chen";"a room where you make food";"Does your apartment have a large kitchen?"
8;"bookshelf";"book-shelf";"a box on the wall that holds books";"Please return your books to the bookshelf every day."
8;"globe";"globe";"a ball that looks like the Earth";"How is a globe better than a map?"
8;"table";"ta-ble";"furniture with a flat top and 4 legs";"The kids are hiding under the table!"
8;"ruler";"ru-ler";"a tool that lets you measure and draw straight lines";"Your ruler can tell you how long something is."
8;"dictionary";"dic-tion-ar-y";"a book that tells you the meaning of words";"How many words are in the dictionary?"
9;"notebook";"note-book";"a book that you can write in";"You should write your homework in your notebook."
10;"dining room";"di-ning-room";"a room with a table where you can eat food";"We will have dinner in the dining room."
10;"attic";"at-tic";"a room in the top of a house";"I think there's a ghost in the attic!"
10;"yard";"yard";"a place outside a house with grass and maybe a garden";"The dog is running around the yard."
10;"garage";"gar-age";"a room to park a car in";"You have a really big garage!"
10;"basement";"base-ment";"a room under a house or building";"I'm afraid of the mice in my basement."
11;"living room";"liv-ing-room";"a room where you can sit and watch TV";"Does your living room have a TV?"
12;"cell phone";"cell-phone";"a machine that allows you to call people";"I lost my cell phone on the MRT!"
13;"interesting";"in-ter-es-ting";"cool, fun to look at, fun to think about";"I am reading an interesting book."
13;"Tokyo";"To-ky-o";"the biggest city in Japan";"Have you ever been to Tokyo?"
13;"country";"coun-try";"a place with a government and a president";"How many countries have you been to?"
13;"friend";"friend";"someone you can play with";"You can ask a friend to play a game with you."
14;"monkey";"mon-key";"an animal that climbs trees and eats bananas";"The monkeys swing from tree to tree."
14;"hospital";"hos-pit-al";"a place where you can see a doctor";"We need to go to the hospital right away!"
14;"theater";"theat-er";"a place where you can watch movies on a big screen or see someone perform on a stage";"We can see a movie at the theater this weekend."
14;"library";"li-brar-y";"a place where you can borrow and read books";"Please be quiet while you are in the library!"
14;"supermarket";"su-per-mar-ket";"a place where you can buy food to cook at home";"He shops at the supermarket every week."
14;"zoo";"zoo";"a place where you can see many animals";"What is your favorite animal in the zoo?"
15;"absent";"ab-sent";"not here, gone";"I'm sorry, but the boss is absent today."
15;"dentist";"dent-ist";"a tooth doctor";"The dentist says I need to take better care of my teeth."
15;"office";"of-fice";"a place where people can work";"Every day she works in the office in the city."
15;"except";"ex-cept";"but not, everything but not this";"Everyone finished the race except for Bob."
16;"classroom";"class-room";"a room where you can learn in school";"How many students are in the classroom?"
17;"study";"stud-y";"to read homework and learn";"Make sure you study for the test every week!"
17;"plant";"plant";"to put a tree or flower in the ground";"It is important to plant trees in your city."
17;"watch";"watch";"a clock on your arm";"How many hands does your watch have?"
17;"listen";"list-en";"to hear and think about";"You should stop and listen before you cross the street."
17;"piano";"pi-an-o";"an instrument with black and white keys";"Do you know how to play the piano?"
18;"cook";"cook";"to make food";"You can help your parents cook dinner."
19;"newspaper";"news-pa-per";"a big paper that you can read every day that tells you what happened";"What does the newspaper say about the president?"
20;"guitar";"gui-tar";"an instrument with 6 strings";"She has played the guitar for five years."
20;"cards";"cards";"52 pieces of paper that you use to play a game";"Do you want to play cards with me?"
20;"breakfast";"break-fast";"the first real of the day, eat in the morning";"What time do you usually eat breakfast?"
21;"math";"math";"to add or subtract numbers";"I don't understand the math that we are learning in class."
22;"shine";"shine";"to have a lot of light coming from something";"The light shines on the book on the table."
22;"beautiful";"beau-ti-ful";"very pretty";"The big, beautiful house is on the top of the hill."
22;"radio";"ra-di-o";"a machine that can play music from the air";"Turn on the radio and find some music!"
22;"family";"fam-il-y";"people you live with";"How many people are in your family?"
22;"flower";"flow-er";"a plant that has beautiful petals";"The actress gets a lot of flowers from her fans."
23;"answer";"an-swer";"to say how to fix a problem";"Can you answer all of the questions on this page?"
23;"baseball";"base-ball";"a game where you hit a ball with a bat";"The kids play baseball every day after school."
23;"beach";"beach";"a sandy place near the ocean";"The dog runs on the beach and jumps in the water."
24;"swim";"swim";"to move in water";"Do you like to swim in the ocean or in a pool?"
25;"violin";"vi-o-lin";"an instrument with 4 strings that you play with a bow";"She needs to buy a new string for her violin."
25;"trumpet";"trum-pet";"an instrument that you blow into with 3 valves";"What sound does a trumpet make?"
25;"chess";"chess";"a game with black and white queens";"Which color goes first in chess, black or white?"
25;"student";"stu-dent";"a person who studies";"The students are studying for their test."
25;"nickname";"nick-name";"a name that your friends call you";"My name is too long, so I use a nickname."
25;"Mr.";"Mr.";"mister, a man's title";"Have you ever met Mr. Green?"
25;"Mrs.";"Mrs.";"missus, a woman's title";"Mrs. Brown is planting flowers in the garden."
26;"greet";"greet";"to say hi";"How do you greet people in English?"
26;"shake";"shake";"to move back and forth";"He shakes the dog to see if it is awake."
26;"kiss";"kiss";"to use your mouth to mwahh";"Every marriage starts with a kiss."
26;"hug";"hug";"to put your arms around someone";"The friends hug each other and say goodbye."
27;"brush";"brush";"a tool with many hairs used for cleaning";"Do you paint with a brush or a roller?"
27;"clean";"clean";"to take away dirt";"Make sure to clean your room every week."
27;"feed";"feed";"to give food";"She feeds her dog twice each day."
27;"fix";"fix";"to make something better after it is broken";"Do you know how to fix a car?"
27;"paint";"paint";"colored water to put on a wall";"He paints a picture of his city in the morning."
27;"wash";"wash";"to clean with water";"You should wash your bowl after you eat."
27;"adjective";"ad-jec-tive";"adj, a word that talks about a noun";"How many adjectives can you name?"
28;"homework";"home-work";"work that you do at home for school";"Remember to finish your homework before you play!"
29;"clothes";"clothes";"things you wear";"What kind of clothes can you wear in the winter?"
30;"exercise";"ex-er-cise";"to run and work out";"She is doing her exercises in the living room."
